정보공시 학교코드,학교도로명주소,학교도로명상세주소,전화번호,홈페이지주소,남녀공학구분
S050001171,광주광역시 북구 양산택지로 130,(본촌동),062-606-6300,http://www.ji-san.ms.kr,남녀공학
S050001172,광주광역시 서구 풍암신흥로11번길 28,", 운리중학교 (풍암동)",062-712-3351,http://www.unri.ms.kr,남녀공학
S050001173,광주광역시 북구 일곡택지로 107,", 일신중학교 (일곡동)",062-605-6600,http://www.gjilshin.ms.kr/,남녀공학
S050001191,광주광역시 서구 하남대로680번길 27,"(동천동,대자중학교)",062-510-3800,http://www.daeja.ms.kr,남녀공학
S050001192,광주광역시 광산구 산월로 107,(산월동),062-960-1703,http://www.wolbong.ms.kr,남녀공학
S050001193,광주광역시 서구 버들로 29,"(유촌동,유덕중학교)",062-370-2704,http://www.yudeok.ms.kr,남녀공학
S050001237,광주광역시 북구 하서로483번길 48,"(용두동,용두중학교)",062-570-6600,http://www.yongdu.ms.kr,남녀공학
S050001238,광주광역시 남구 노대실로41번길 21,"(노대동,진남중학교)",062-717-3410,http://jinnam-g.ms.kr/,남녀공학
S050001244,광주광역시 광산구 목련로22번길 31,(산정동),062-960-5805,http://sanjeong.ms.kr,남녀공학
S050001245,광주광역시 광산구 장덕로 65,(장덕동),062-950-9800,http://www.seongdeok.ms.kr,남녀공학
S050001247,광주광역시 광산구 수등로 11,"(장덕동,장덕중학교)",717-8500,http://www.jangdeok.ms.kr,남녀공학
S050001248,광주광역시 광산구 수완로 19,(수완동),062-975-2277,http://www.suwan.ms.kr,남녀공학
S050001275,광주광역시 광산구 선운로20번길 20,", 37번지 선운중학교 (선암동)",062-717-9400,http://seonun.ms.kr,남녀공학
S050001280,광주광역시 북구 첨단연신로133번길 32,(신용동),062-713-6100,http://www.sinyong.ms.kr,남녀공학
S050001291,광주광역시 남구 서문대로 402,", 번길(50) (행암동)",062-720-2200,http://www.hyocheon.ms.kr,남녀공학
S050001420,광주광역시 광산구 수완로105번길 47,(수완동),062-720-2641,http://suwanhana.ms.kr/,남녀공학
S000003516,광주광역시 북구 용봉로 45,"(용봉동,전남대학교사범대학부설고등학교)",062-530-3859,http://bugo.jnu.ac.kr,남녀공학
S050000088,광주광역시 북구 설죽로 369,(삼각동) 고려고등학교,062-573-0075,http://www.korea.hs.kr/,남
S050000089,광주광역시 서구 화정로 202,"(화정동,광덕중고등학교)",062380-6782,http://www.gwangdeok.hs.kr,남
S050000092,광주광역시 광산구 고봉로 812,"(임곡동,광일고등학교)",062-952-8503,http://www.kwangil.hs.kr,남녀공학
S050000093,광주광역시 북구 금호로40번길 40,"(용봉동,경신여고) ",062-605-4811,http://www.kshin.hs.kr,녀
S050000094,광주광역시 동구 중앙로 205,(대인동),622390156,http://www.gwangju.hs.kr/,남
S050000096,광주광역시 북구 첨단과기로 215,(오룡동),062-670-3203,http://www.gsa.hs.kr/,남녀공학
S050000097,광주광역시 북구 설죽로315번길 14,"(매곡동,광주공업고등학교)",062-570-2805,http://www.gt.hs.kr,남녀공학
S050000100,광주광역시 서구 전평길 50,"(매월동,대동고등학교)",062-600-3625,http://www.k-dd.hs.kr,남
S050000101,광주광역시 남구 서문대로627번길 20,"(진월동,광주동성고등학교)",062-670-4600,http://www.gds.hs.kr,남
S050000102,광주광역시 북구 동문대로 50,", 광주동신고등학교 ",625202190,http://www.kds.hs.kr,남
S050000103,광주광역시 북구 동문대로 50,(풍향동),062-520-2176,www.kdsg.hs.kr,녀
S050000107,광주광역시 서구 화정로253번길 27,", 광주서석고등학교 (화정동)",062-360-3800,http://www.seoseok.hs.kr/,남
S050000108,광주광역시 남구 백운로26번길 20,"(백운동,석산고등학교)",062-676-1476,http://www.suksan.hs.kr,남
S050000109,광주광역시 남구 백서로 13,"(양림동,수피아여자고등학교)",062-670-3011,http://www.speer.hs.kr,녀
S050000110,광주광역시 북구 모룡대길 40,", 광주숭일고등학교 (일곡동)",062-608-0500~0503,http://www.soongil.hs.kr/,남녀공학
S050000112,광주광역시 서구 상무대로1014번길 43,(화정동),062-231-7531,http://kwangju-g.hs.kr/,녀
S050000114,광주광역시 남구 서문대로627번길 20,"(진월동,광주동성고등학교)",062-670-4700,http://www.kjgc-g.hs.kr,녀
S050000116,광주광역시 북구 서강로 133,", 광주예술고등학교 (운암동)",062-520-8800,www.kj-art.hs.kr,남녀공학
S050000118,광주광역시 남구 서문대로 390,"(송하동,인성고)",062-670-9200,http://www.inseong.hs.kr,남
S050000119,광주광역시 북구 능안로 30,"(오치동,자연과학고등학교)",260-3700,http://www.kns.hs.kr,남녀공학
S050000120,광주광역시 광산구 상무대로 312,(송정동),062-949-6808,http://gc.hs.kr/,남녀공학
S050000121,광주광역시 광산구 첨단중앙로 7,(월계동),970-0554,http://www.get.hs.kr,남녀공학
S050000122,광주광역시 광산구 금봉로 138-1,(우산동),062-949-0500,http://www.gat.hs.kr,남녀공학
S050000123,광주광역시 북구 독립로237번길 33,"(누문동,광주제일고등학교)",062-510-8873,www.ilgo.hs.kr,남
S050000125,광주광역시 북구 금호로 100,", 금호중앙여자고등학교 ",062-607-1071,www.k-ja.hs.kr,녀
S050000126,광주광역시 광산구 왕버들로 307,", 광주진흥고등학교 (신창동)",062-960-2140,http://www.jinheung.hs.kr,남
S050000127,광주광역시 북구 하서로 55,(운암동184번지),062-520-7100,http://www.kwangju-p.hs.kr/,남녀공학
S050000128,광주광역시 북구 설죽로 433,(삼각동),062-573-9761,http://www.kukje.hs.kr/,남녀공학
S050000129,광주광역시 북구 금호로 80,"(운암동,금호고등학교)",062-605-6146,http://kumpa.hs.kr,남녀공학
S050000131,광주광역시 북구 금호로 100,"(운암동,금호고등학교)",062-608-1080,www.kumho.hs.kr,남
S050000133,광주광역시 남구 서문대로742번길 13,"(주월동,대광여자고등학교)",672-1217,www.daekwang.hs.kr,녀
S050000134,광주광역시 남구 서문대로663번길 37,"(진월동,대성여자고등학교)",062-671-0213,http://www.daesung.hs.kr,녀
S050000135,광주광역시 광산구 사이동길 16,(서봉동),062-943-2855,http://www.kdm.hs.kr,남녀공학
S050000136,광주광역시 남구 오방로 16-10,"(봉선동,동아여자고등학교)",062-650-1999,http://www.donga.hs.kr,녀
S050000137,광주광역시 남구 천변좌로 604,", 번길 12 (방림동)",062-650-6200,http://www.k-dongil.hs.kr,남녀공학
S050000138,광주광역시 남구 제석로 73,"(봉선동,문성고등학교)",062-670-7575,www.munseong.hs.kr,남
S050000139,광주광역시 광산구 어등대로529번길 37,(운수동),062-940-8800,www.bomun.hs.kr,남녀공학
S050000142,광주광역시 북구 모룡대길 67,(일곡동),062-608-9157,http://www.salesio.hs.kr/,남
S050000143,광주광역시 동구 필문대로273번길 21,"(지산동,살레시오)",062-220-1413,http://www.salesio-g.hs.kr,녀
S050000144,광주광역시 서구 상무민주로32번길 28,(쌍촌동),062-600-1334,http://www.sangmu.hs.kr,남녀공학
S050000145,광주광역시 북구 서강로 1,"(운암동,서강고등학교)",062-520-7822,http://seogang.hs.kr/,남녀공학
S050000146,광주광역시 남구 서문대로742번길 20,(주월동),062-672-1213,http://www.gsj.hs.kr,녀
S050000147,광주광역시 남구 천변좌로604번길 12,"(방림동,동일전자고등학교)",062-650-7800,http://www.seolwol.hs.kr,녀
S050000148,광주광역시 광산구 수완로12번길 21,(수완동),062-960-2860,http://www.gmj.hs.kr,녀
S050000149,광주광역시 남구 송암로 73,", 송원고등학교 (송하동)",062-360-5503,www.songwon.hs.kr,남녀공학
S050000150,광주광역시 남구 송암로 73,"(송하동,송원여자고등학교)",062-360-5562,www.songwon-g.hs.kr,녀
S050000153,광주광역시 광산구 월계로 117-8,(월계동),062-970-0700,http://sdok.hs.kr,남녀공학
S050000154,광주광역시 남구 오방로 34-13,"(방림동,숭의고등학교)",062-672-9911,http://www.kss.hs.kr,남녀공학
S050000155,광주광역시 서구 상무공원로 32,(치평동),062-370-8510,http://www.jeonnam.hs.kr,남
S050000156,광주광역시 광산구 왕버들로322번길 26,(신창동),062-603-1200,http://www.kiram.hs.kr,남녀공학
S050000161,광주광역시 동구 제봉로158번길 8,(장동 39-12),062-220-0307,http://www.chonnam-g.hs.kr,녀
S050000163,광주광역시 북구 설죽로 433,"(삼각동,학교법인춘태학원)",062-570-8601,www.cgch.org,녀
S050000165,광주광역시 광산구 소촌로 90-36,(소촌동),720-8578,http://www.jg.hs.kr,남녀공학
S050000166,광주광역시 동구 의재로33번길 33,"(학동,조선대학교부속고등학교)",062-230-0221,http://www.chosun.hs.kr,남
S050000167,광주광역시 동구 지산로 36,"(지산동,조선대학교여자고등학교)",062-220-7563,http://www.chosun-g.hs.kr,녀
S050000168,광주광역시 남구 회서로 30,"(주월동,삼육중고등학교)",062-652-4801,http://samyook.hs.kr,남녀공학
S050001096,광주광역시 남구 송암로 73,"(송하동,송원여자상업고등학교)",062-360-5991,http://www.songwon-gc.hs.kr,녀
S050001118,광주광역시 광산구 임방울대로165번길 17,(운남동),062-960-3162,http://www.unnam.hs.kr,남녀공학
S050001119,광주광역시 서구 풍암신흥로39번길 20,"(풍암동,풍암고등학교)",062-650-0507,http://pungam.hs.kr,남녀공학
S050001155,광주광역시 광산구 산월로 12-17,"(월계동,첨단고등학교)",970-4357,http://www.cheomdan.hs.kr,남녀공학
S050001226,광주광역시 서구 내방로 217,"(쌍촌동,상일여자고등학교)",062-370-2586,http://sangil-g.hs.kr,녀
S050001230,광주광역시 광산구 수등로 45,(장덕동),062-956-9394,http://www.jangdeok.hs.kr,남녀공학
S050001232,광주광역시 광산구 장덕로 155,(수완동),062-960-4525,http://www.suwan.hs.kr,남녀공학
S050001236,광주광역시 북구 능안로30번길 33,"(오치동,문정여자고등학교)",062-269-2303,http://www.munjeong.hs.kr,녀
S050001278,광주광역시 광산구 장덕로 75,(장덕동),062-714-8900,http://www.seongdeok.hs.kr,남녀공학
S050001283,광주광역시 북구 첨단연신로133번길 19,(신용동),062-712-8846,http://bitgoeul.hs.kr,남녀공학
S050000640,광주광역시 광산구 목련로394번길 60-3,", 광주선광학교 (신가동)",062-950-9107,http://www.sunkwang.sc.kr,남녀공학
S050000641,광주광역시 남구 서문대로749번마길 2,"(주월동,선명학교)",062-650-9740,http://www.sunmyong.sc.kr/,남녀공학
S050000642,광주광역시 서구 유덕로 177,"(덕흥동,광주세광학교)",062-606-0401,http://www.sekwang.sc.kr,남녀공학
S050000645,광주광역시 북구 앰코로 127,(오룡동),062-970-9900,http://www.eunhae.sc.kr/,남녀공학
S050001274,광주광역시 북구 모룡대길 61,", 광주선우학교 (일곡동)",062-712-6900,http://www.seonu.sc.kr,남녀공학
S050000644,광주광역시 북구 동운로 167-5,(운암동),062-523-8237,http://www.kumho-art.com,남녀공학
S050001099,광주광역시 남구 회서로 30,", 호남삼육중학교 (주월동)",070-8677-4850,http://samyook.ms.kr,남녀공학
S050000095,광주광역시 동구 중앙로 302,"(계림동,광주고등학교)",062-239-0151,http://www.gwangju.hs.kr,남
S050000162,광주광역시 동구 제봉로158번길 8,"(장동,전남여자고등학교)",062-220-0370,http://chonnam-g.hs.kr,녀
S050001434,광주광역시 서구 염화로 23-20,", 월광기독학교 (화정동)",062-380-4662,http://,남녀공학
S050001412,광주광역시 북구 금남로 61,"(유동,광주북성중학교)",062-607-7000,http://cybre.ms.kr,남녀공학
